# pos[x], pos[y], pos[z], quat[w], quat[x], quat[y], quat[z]
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429862711893900e-01,7.488398721134541247e-02,6.082998813889718415e-01,1.886097080896180223e-01,5.178264463405224394e-01,8.026211932004867489e-01,2.282134301703596657e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429982820572459e-01,7.488402203911488642e-02,6.082999533792964320e-01,1.886097266192658661e-01,5.178264250743882524e-01,8.026211825046704051e-01,2.282135007270371385e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429994911680573e-01,7.488395796920643832e-02,6.082999200604685131e-01,1.886097152614793493e-01,5.178264802223702112e-01,8.026211568459296064e-01,2.282134752217687690e-01
5.210429863257730609e-01,7.488402167557886568e-02,6.082999216437380285e-01,1.886097007865611408e-01,5.178264345660829049e-01,8.026211872494888322e-01,2.282134838522972831e-01
5.210429863257730609e-01,7.488402167557886568e-02,6.082999216437380285e-01,1.886097007865611408e-01,5.178264345660829049e-01,8.026211872494888322e-01,2.282134838522972831e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429904919958721e-01,7.488402173547938079e-02,6.082999197394945989e-01,1.886097031407655555e-01,5.178264317139866790e-01,8.026211884077780745e-01,2.282134843044951733e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429976021819787e-01,7.488395329337764472e-02,6.082999101957281551e-01,1.886097599100942379e-01,5.178264477120082532e-01,8.026211862084438042e-01,2.282134088215894141e-01
5.210429549025114015e-01,7.488392035371771449e-02,6.082999080580893114e-01,1.886097195449924768e-01,5.178264741109671609e-01,8.026211894452194295e-01,2.282133708977273356e-01
